YEAR,MONTH,Datetime,Rainfall,Precipitation_Anomaly,SPAI
1928,Jun,01-06-1928,10.745,-38.116242857142865,-0.8520484606556745
1928,Jul,01-07-1928,163.753,-17.207971428571454,-0.1842155033722482
1928,Aug,01-08-1928,190.028,28.012171428571435,0.28460233615335795
1928,Sep,01-09-1928,72.892,-23.323342857142862,-0.3060004427646376
1928,Oct,01-10-1928,36.64,28.7194,2.4478996063584955
1928,Nov,01-11-1928,27.332,18.604685714285715,1.143224592883959
1928,Dec,01-12-1928,7.672,5.018457142857143,1.1048334896031324
1929,Jan,01-01-1929,0.405,-2.8791285714285717,-0.6873800152875589
1929,Feb,01-02-1929,1.264,-1.8700142857142852,-0.30360361308443123
1929,Mar,01-03-1929,0.0,-5.306571428571428,-0.5537650248555248
1929,Apr,01-04-1929,7.588,3.906485714285714,0.5866280881703685
1929,May,01-05-1929,2.168,-5.702114285714288,-0.6316976937920409
1929,Jun,01-06-1929,45.372,-3.4892428571428624,-0.07799834879909341
1929,Jul,01-07-1929,176.454,-4.506971428571433,-0.04824822111339067
1929,Aug,01-08-1929,187.611,25.595171428571433,0.26004573052795293
1929,Sep,01-09-1929,11.934,-84.28134285714286,-1.1057646577101028
1929,Oct,01-10-1929,1.656,-6.264599999999999,-0.5339635185273169
1929,Nov,01-11-1929,0.039,-8.688314285714284,-0.5338813412207617
1929,Dec,01-12-1929,9.77,7.116457142857143,1.5667166132812014
1930,Jan,01-01-1930,3.659,0.3748714285714283,0.08949900010003445
1930,Feb,01-02-1930,0.53,-2.6040142857142854,-0.42277117972088213
1930,Mar,01-03-1930,0.0,-5.306571428571428,-0.5537650248555248
1930,Apr,01-04-1930,3.204,-0.4775142857142858,-0.07170723586117864
1930,May,01-05-1930,19.477,11.606885714285713,1.2858463668803166
1930,Jun,01-06-1930,96.553,47.691757142857135,1.0660989964786283
1930,Jul,01-07-1930,179.445,-1.5159714285714472,-0.016228841439645345
1930,Aug,01-08-1930,83.078,-78.93782857142855,-0.8020046028772854
1930,Sep,01-09-1930,24.834,-71.38134285714285,-0.9365176618638394
1930,Oct,01-10-1930,14.381,6.460400000000002,0.5506525420767292
1930,Nov,01-11-1930,0.329,-8.398314285714283,-0.5160613609734317
1930,Dec,01-12-1930,0.0,-2.653542857142857,-0.5841881142377359
1931,Jan,01-01-1931,0.0,-3.2841285714285715,-0.7840720869630277
1931,Feb,01-02-1931,0.844,-2.2900142857142853,-0.3717921389527
1931,Mar,01-03-1931,0.818,-4.488571428571428,-0.4684029796198942
1931,Apr,01-04-1931,0.04,-3.641514285714286,-0.5468379304861365
1931,May,01-05-1931,3.779,-4.091114285714288,-0.45322617713924923
1931,Jun,01-06-1931,26.754,-22.10724285714286,-0.4941841281777811
1931,Jul,01-07-1931,83.302,-97.65897142857143,-1.0454629504242376
1931,Aug,01-08-1931,383.267,221.25117142857144,2.2479014319115853
1931,Sep,01-09-1931,63.727,-32.48834285714286,-0.4262445293484362
1931,Oct,01-10-1931,42.525,34.6044,2.94950789843353
1931,Nov,01-11-1931,0.329,-8.398314285714283,-0.5160613609734317
1931,Dec,01-12-1931,0.0,-2.653542857142857,-0.5841881142377359
1932,Jan,01-01-1932,0.0,-3.2841285714285715,-0.7840720869630277
1932,Feb,01-02-1932,1.454,-1.6800142857142852,-0.27275642281069046
1932,Mar,01-03-1932,7.099,1.7924285714285721,0.18704812811237476
1932,Apr,01-04-1932,1.706,-1.975514285714286,-0.29665849393582694
1932,May,01-05-1932,1.641,-6.229114285714288,-0.6900803686995649
1932,Jun,01-06-1932,36.836,-12.025242857142864,-0.26881163770104205
1932,Jul,01-07-1932,122.843,-58.11797142857144,-0.6221669652421674
1932,Aug,01-08-1932,367.795,205.77917142857146,2.0907066440604205
1932,Sep,01-09-1932,49.637,-46.57834285714286,-0.6111042325634628
