YEAR,MONTH,Datetime,Rainfall,SPI
1926,Aug,01-08-1926,238.098,0.7729912614380995
1926,Sep,01-09-1926,236.959,1.846545826034496
1926,Oct,01-10-1926,0.0,-0.6751127677501304
1926,Nov,01-11-1926,2.272,-0.39666749331632284
1926,Dec,01-12-1926,0.0,-0.5841881142377359
1927,Jan,01-01-1927,0.0,-0.7840720869630278
1927,Feb,01-02-1927,6.497,0.5459929485075963
1927,Mar,01-03-1927,0.161,-0.5369639377125706
1927,Apr,01-04-1927,0.348,-0.500586269947424
1927,May,01-05-1927,5.645,-0.2465049790795913
1927,Jun,01-06-1927,16.276,-0.7284087815417244
1927,Jul,01-07-1927,226.624,0.4888337843134941
1927,Aug,01-08-1927,332.879,1.7359617363166728
1927,Sep,01-09-1927,73.396,-0.2993880019966905
1927,Oct,01-10-1927,10.979,0.2606828887820363
1927,Nov,01-11-1927,16.942,0.5047777143675611
1927,Dec,01-12-1927,12.568,2.182707547528691
1928,Jan,01-01-1928,1.271,-0.480626104001248
1928,Feb,01-02-1928,4.957,0.2959683536572766
1928,Mar,01-03-1928,0.272,-0.5253805794959997
1928,Apr,01-04-1928,0.0,-0.5528446396470086
1928,May,01-05-1928,0.648,-0.8000879515898329
1928,Jun,01-06-1928,10.745,-0.8520484606556742
1928,Jul,01-07-1928,163.753,-0.18421550337224835
1928,Aug,01-08-1928,190.028,0.28460233615335795
1928,Sep,01-09-1928,72.892,-0.3060004427646376
1928,Oct,01-10-1928,36.64,2.4478996063584955
1928,Nov,01-11-1928,27.332,1.143224592883959
1928,Dec,01-12-1928,7.672,1.1048334896031324
1929,Jan,01-01-1929,0.405,-0.6873800152875591
1929,Feb,01-02-1929,1.264,-0.30360361308443123
1929,Mar,01-03-1929,0.0,-0.5537650248555248
1929,Apr,01-04-1929,7.588,0.5866280881703685
1929,May,01-05-1929,2.168,-0.6316976937920409
1929,Jun,01-06-1929,45.372,-0.07799834879909327
1929,Jul,01-07-1929,176.454,-0.04824822111339081
1929,Aug,01-08-1929,187.611,0.26004573052795293
1929,Sep,01-09-1929,11.934,-1.1057646577101028
1929,Oct,01-10-1929,1.656,-0.5339635185273169
1929,Nov,01-11-1929,0.039,-0.5338813412207617
1929,Dec,01-12-1929,9.77,1.5667166132812014
1930,Jan,01-01-1930,3.659,0.08949900010003445
1930,Feb,01-02-1930,0.53,-0.42277117972088196
1930,Mar,01-03-1930,0.0,-0.5537650248555248
1930,Apr,01-04-1930,3.204,-0.07170723586117864
1930,May,01-05-1930,19.477,1.285846366880318
1930,Jun,01-06-1930,96.553,1.0660989964786283
1930,Jul,01-07-1930,179.445,-0.016228841439645487
1930,Aug,01-08-1930,83.078,-0.8020046028772858
1930,Sep,01-09-1930,24.834,-0.9365176618638394
1930,Oct,01-10-1930,14.381,0.5506525420767292
1930,Nov,01-11-1930,0.329,-0.5160613609734317
1930,Dec,01-12-1930,0.0,-0.5841881142377359
1931,Jan,01-01-1931,0.0,-0.7840720869630278
1931,Feb,01-02-1931,0.844,-0.3717921389527
1931,Mar,01-03-1931,0.818,-0.4684029796198942
1931,Apr,01-04-1931,0.04,-0.5468379304861366
1931,May,01-05-1931,3.779,-0.45322617713924923
1931,Jun,01-06-1931,26.754,-0.4941841281777811
1931,Jul,01-07-1931,83.302,-1.045462950424238
1931,Aug,01-08-1931,383.267,2.2479014319115853
1931,Sep,01-09-1931,63.727,-0.4262445293484362
1931,Oct,01-10-1931,42.525,2.94950789843353
1931,Nov,01-11-1931,0.329,-0.5160613609734317
1931,Dec,01-12-1931,0.0,-0.5841881142377359
1932,Jan,01-01-1932,0.0,-0.7840720869630278
1932,Feb,01-02-1932,1.454,-0.27275642281069046
1932,Mar,01-03-1932,7.099,0.18704812811237476
1932,Apr,01-04-1932,1.706,-0.29665849393582694
1932,May,01-05-1932,1.641,-0.6900803686995649
1932,Jun,01-06-1932,36.836,-0.26881163770104194
1932,Jul,01-07-1932,122.843,-0.6221669652421679
1932,Aug,01-08-1932,367.795,2.0907066440604205
1932,Sep,01-09-1932,49.637,-0.6111042325634628
1932,Oct,01-10-1932,0.792,-0.6076066050783501
1932,Nov,01-11-1932,0.039,-0.5338813412207617
1932,Dec,01-12-1932,0.0,-0.5841881142377359
1933,Jan,01-01-1933,0.0,-0.7840720869630278
1933,Feb,01-02-1933,8.403,0.8554389730431216
1933,Mar,01-03-1933,5.999,0.07225809173194238
1933,Apr,01-04-1933,21.643,2.6972355195716946
1933,May,01-05-1933,23.207,1.6990671968709514
1933,Jun,01-06-1933,161.212,2.5114828351748706
1933,Jul,01-07-1933,78.325,-1.0987429412755352
1933,Aug,01-08-1933,399.741,2.4152764923472194
1933,Sep,01-09-1933,121.493,0.3316408940666979
1933,Oct,01-10-1933,7.05,-0.07420563790663136
1933,Nov,01-11-1933,1.175,-0.46407617721742866
1933,Dec,01-12-1933,1.577,-0.23700523242633723
1934,Jan,01-01-1934,1.634,-0.3939613582773093
1934,Feb,01-02-1934,0.0,-0.5088186052213167
1934,Mar,01-03-1934,6.342,0.10805171216693173
1934,Apr,01-04-1934,0.0,-0.5528446396470086
1934,May,01-05-1934,0.004,-0.8714322450252131
1934,Jun,01-06-1934,147.299,2.2004723749484376
1934,Jul,01-07-1934,84.217,-1.035667653733674
1934,Aug,01-08-1934,282.24,1.2214718925993018
1934,Sep,01-09-1934,50.292,-0.6025106835495633
1934,Oct,01-10-1934,0.017,-0.6736637718341956
1934,Nov,01-11-1934,9.885,0.07113771227995587
1934,Dec,01-12-1934,4.934,0.5020517962615925
1935,Jan,01-01-1935,11.194,1.8884490249757309
1935,Feb,01-02-1935,1.103,-0.3297425480006009
1935,Mar,01-03-1935,1.924,-0.3529868157682959
1935,Apr,01-04-1935,19.969,2.445854741189209
1935,May,01-05-1935,2.509,-0.5939206688518782
1935,Jun,01-06-1935,11.555,-0.833941763840939
1935,Jul,01-07-1935,237.447,0.6046966215615543
