Year,Rainfall
1983-02-01,-4.080667933933436
1983-03-01,-2.2292380346357823
1983-04-01,-1.4126014383509755
1983-05-01,2.16425245270133
1983-06-01,23.797210334017873
1983-07-01,205.63431231588123
1983-08-01,144.05875616937874
1983-09-01,95.23024496734142
1983-10-01,13.249189049899577
1983-11-01,-4.798075089305639
1983-12-01,-7.210150991715491
1984-01-01,-6.785692781955003
1984-02-01,-3.946008099541068
1984-03-01,-1.9903896535933017
1984-04-01,-1.102270269356668
1984-05-01,3.158598789013922
1984-06-01,25.787459699343888
1984-07-01,205.2072680693865
1984-08-01,141.97470127940178
1984-09-01,99.30552109919488
1984-10-01,12.283958444818854
1984-11-01,-4.627082283906638
1984-12-01,-7.184466407261788
1985-01-01,-6.764203323759138
1985-02-01,-3.965841142050922
1985-03-01,-2.102221375480294
1985-04-01,-1.1333331341296433
1985-05-01,3.2796253081783653
1985-06-01,25.865245318002998
1985-07-01,205.63769275605677
1985-08-01,141.10857841938733
1985-09-01,109.50680387362837
1985-10-01,11.995363506153225
