Year,Rainfall,Month,SPI
1983-09-01,95.23024496734142,9,-1.2997531046119568
1983-10-01,13.249189049899575,10,-0.513032047620704
1983-11-01,-4.798075089305639,11,-0.39023472491412575
1983-12-01,-7.210150991715491,12,-0.060608259352400766
1984-01-01,-6.785692781955003,1,-0.003433140658852468
1984-02-01,-3.946008099541068,2,0.6040699112401897
1984-03-01,-1.9903896535933017,3,0.8713365314269743
1984-04-01,-1.102270269356668,4,0.6509492796595009
1984-05-01,3.158598789013922,5,0.7327389429738981
1984-06-01,25.787459699343888,6,0.811579744193698
1984-07-01,205.2072680693865,7,0.38052199192332803
1984-08-01,141.97470127940178,8,-0.5450676719627514
1984-09-01,99.30552109919488,9,-0.7493482810346628
1984-10-01,12.283958444818854,10,-0.5954959754791845
1984-11-01,-4.627082283906638,11,-0.3084419761414526
1984-12-01,-7.184466407261788,12,-0.03211834032250596
1985-01-01,-6.764203323759138,1,0.03336415350456578
1985-02-01,-3.965841142050922,2,0.5467733910015312
1985-03-01,-2.102221375480294,3,0.5213300337234683
1985-04-01,-1.133333134129643,4,0.5812689258960883
1985-05-01,3.2796253081783653,5,0.8397687507799936
1985-06-01,25.865245318003,6,0.8432564187189417
1985-07-01,205.6376927560568,7,0.3942517717352518
1985-08-01,141.10857841938733,8,-0.607591060626297
1985-09-01,109.50680387362836,9,0.6284320371717728
1985-10-01,11.995363506153224,10,-0.6201519199521166
1985-11-01,-4.8154505518078805,11,-0.3985461087524023
1985-12-01,-7.324325358644128,12,-0.18725303629826529
1986-01-01,-6.882954806685447,1,-0.16997895592861434
1986-02-01,-4.064242375120521,2,0.2624978826280707
1986-03-01,-2.270408415533602,3,-0.005055108657358797
1986-04-01,-1.4223810517787934,4,-0.06712462388021313
1986-05-01,2.484809453226626,5,0.13687331278812695
1986-06-01,24.52177219102159,6,0.2961532175050801
1986-07-01,205.8800838384032,7,0.4019836149404704
1986-08-01,142.32171022430063,8,-0.5200179057768369
1986-09-01,106.28240481659768,9,0.19294625983854183
1986-10-01,12.408018909040836,10,-0.5848969402664173
