Year,Rainfall,Month,Precipitation_Anomaly,SPAI
1977-06-01,23.60033011775464,6,-0.19420471054563393,-0.07908607674874533
1977-07-01,193.5814204788208,7,0.30340847824021466,0.009678189305390352
1977-08-01,155.18646209567785,8,5.66105729503434,0.4086585192984331
1977-09-01,112.00240707233549,9,7.1486039935276295,0.9654869983232305
1977-10-01,36.88408078800887,10,17.62991178371572,1.5062014878425085
1977-11-01,-3.2888234858959917,11,0.693441750110436,0.3317011304827521
1977-12-01,-7.715979776941239,12,-0.5604690934096768,-0.6216849300709048
1978-01-01,-7.502903871797025,1,-0.7192160289101297,-1.2315435569215025
1978-02-01,-4.810859914049506,2,-0.6557545747694871,-1.8944372879856917
1978-03-01,-2.864358515255153,3,-0.5955652740374209,-1.8639766266883546
